website,Realtor,Zillow,Redfin,Census,
key_row,cbsa_title,RegionName,Region,MSA,region_type
united_states,United States,United States,National,United States,country
alabama,alabama,Alabama,Alabama,Alabama,state
alaska,alaska,Alaska,Alaska,Alaska,state
arizona,arizona,Arizona,Arizona,Arizona,state
arkansas,arkansas,Arkansas,Arkansas,Arkansas,state
california,california,California,California,California,state
colorado,colorado,Colorado,Colorado,Colorado,state
connecticut,connecticut,Connecticut,Connecticut,Connecticut,state
delaware,delaware,Delaware,Delaware,Delaware,state
florida,florida,Florida,Florida,Florida,state
georgia,georgia,Georgia,Georgia,Georgia,state
hawaii,hawaii,Hawaii,Hawaii,Hawaii,state
idaho,idaho,Idaho,Idaho,Idaho,state
illinois,illinois,Illinois,Illinois,Illinois,state
indiana,indiana,Indiana,Indiana,Indiana,state
iowa,iowa,Iowa,Iowa,Iowa,state
kansas,kansas,Kansas,Kansas,Kansas,state
kentucky,kentucky,Kentucky,Kentucky,Kentucky,state
louisiana,louisiana,Louisiana,Louisiana,Louisiana,state
maine,maine,Maine,Maine,Maine,state
maryland,maryland,Maryland,Maryland,Maryland,state
massachusetts,massachusetts,Massachusetts,Massachusetts,Massachusetts,state
michigan,michigan,Michigan,Michigan,Michigan,state
minnesota,minnesota,Minnesota,Minnesota,Minnesota,state
mississippi,mississippi,Mississippi,Mississippi,Mississippi,state
missouri,missouri,Missouri,Missouri,Missouri,state
montana,montana,Montana,Montana,Montana,state
nebraska,nebraska,Nebraska,Nebraska,Nebraska,state
nevada,nevada,Nevada,Nevada,Nevada,state
new_hampshire,new hampshire,New Hampshire,New Hampshire,New Hampshire,state
new_jersey,new jersey,New Jersey,New Jersey,New Jersey,state
new_mexico,new mexico,New Mexico,New Mexico,New Mexico,state
new_york,new york,New York,New York,New York,state
north_carolina,north carolina,North Carolina,North Carolina,North Carolina,state
north_dakota,north dakota,North Dakota,North Dakota,North Dakota,state
ohio,ohio,Ohio,Ohio,Ohio,state
oklahoma,oklahoma,Oklahoma,Oklahoma,Oklahoma,state
oregon,oregon,Oregon,Oregon,Oregon,state
pennsylvania,pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,state
rhode_island,rhode island,Rhode Island,Rhode Island,Rhode Island,state
south_carolina,south carolina,South Carolina,South Carolina,South Carolina,state
south_dakota,south dakota,South Dakota,South Dakota,South Dakota,state
tennessee,tennessee,Tennessee,Tennessee,Tennessee,state
texas,texas,Texas,Texas,Texas,state
utah,utah,Utah,Utah,Utah,state
vermont,vermont,Vermont,Vermont,Vermont,state
virginia,virginia,Virginia,Virginia,Virginia,state
washington,washington,Washington,Washington,Washington,state
west_virginia,west virginia,West Virginia,West Virginia,West Virginia,state
wisconsin,wisconsin,Wisconsin,Wisconsin,Wisconsin,state
wyoming,wyoming,Wyoming,Wyoming,Wyoming,state
new_york_ny,"New York-Newark-Jersey City, NY-NJ","New York, NY",,"New York-Newark-Jersey City, NY-NJ-PA",metro
los_angeles_ca,"los angeles-long beach-anaheim, ca","Los Angeles, CA",,"Los Angeles-Long Beach-Anaheim, CA",metro
chicago_il,"Chicago-Naperville-Elgin, IL-IN","Chicago, IL",,"Chicago-Naperville-Elgin, IL-IN-WI",metro
dallas_tx,"dallas-fort worth-arlington, tx","Dallas, TX",,"Dallas-Fort Worth-Arlington, TX",metro
houston_tx,"Houston-Pasadena-The Woodlands, TX","Houston, TX",,"Houston-The Woodlands-Sugar Land, TX",metro
philadelphia_pa,"philadelphia-camden-wilmington, pa-nj-de-md","Philadelphia, PA",,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",metro
washington_dc,"washington-arlington-alexandria, dc-va-md-wv","Washington, DC",,"Washington-Arlington-Alexandria, DC-VA-MD-WV",metro
miami_fl,"Miami-Fort Lauderdale-West Palm Beach, FL","Miami, FL",,"Miami-Fort Lauderdale-Pompano Beach, FL",metro
atlanta_ga,"Atlanta-Sandy Springs-Roswell, GA","Atlanta, GA",,"Atlanta-Sandy Springs-Alpharetta, GA",metro
boston_ma,"boston-cambridge-newton, ma-nh","Boston, MA",,"Boston-Cambridge-Newton, MA-NH",metro
san_francisco_ca,"San Francisco-Oakland-Fremont, CA","San Francisco, CA",,"San Francisco-Oakland-Berkeley, CA",metro
detroit_mi,"detroit-warren-dearborn, mi","Detroit, MI",,"Detroit-Warren-Dearborn, MI",metro
phoenix_az,"Phoenix-Mesa-Chandler, AZ","Phoenix, AZ",,"Phoenix-Mesa-Chandler, AZ",metro
seattle_wa,"seattle-tacoma-bellevue, wa","Seattle, WA",,"Seattle-Tacoma-Bellevue, WA",metro
minneapolis_mn,"minneapolis-st. paul-bloomington, mn-wi","Minneapolis, MN",,"Minneapolis-St. Paul-Bloomington, MN-WI",metro
riverside_ca,"riverside-san bernardino-ontario, ca","Riverside, CA",,"Riverside-San Bernardino-Ontario, CA",metro
tampa_fl,"tampa-st. petersburg-clearwater, fl","Tampa, FL",,"Tampa-St. Petersburg-Clearwater, FL",metro
san_diego_ca,"San Diego-Chula Vista-Carlsbad, CA","San Diego, CA",,"San Diego-Chula Vista-Carlsbad, CA",metro
st_louis_mo,"st. louis, mo-il","St. Louis, MO",,"St. Louis, MO-IL",metro
denver_co,"Denver-Aurora-Centennial, CO","Denver, CO",,"Denver-Aurora-Lakewood, CO",metro
baltimore_md,"baltimore-columbia-towson, md","Baltimore, MD",,"Baltimore-Columbia-Towson, MD",metro
pittsburgh_pa,"pittsburgh, pa","Pittsburgh, PA",,"Pittsburgh, PA",metro
portland_or,"portland-vancouver-hillsboro, or-wa","Portland, OR",,"Portland-Vancouver-Hillsboro, OR-WA",metro
charlotte_nc,"charlotte-concord-gastonia, nc-sc","Charlotte, NC",,"Charlotte-Concord-Gastonia, NC-SC",metro
