key_row,regiontype,regionname,statename,home_value,home_value_rounded,home_value_change_mm,home_value_change_yy,2016_median_home_value,2017_median_home_value,2018_median_home_value,2019_median_home_value,2020_median_home_value,2021_median_home_value,2022_median_home_value,2023_median_home_value,2024_median_home_value,2025_median_home_value,date,forecastyoypctchange,top_tier,bottom_tier,sale_price,listing_price,current_days_to_pending,dtp_month,days_to_pending,inventory,clean_regionname,zestimate_accuracy,zillow_on_market_median_error,zillow_on_market_properties,zillow_on_market_within_5,zillow_on_market_within_10,zillow_on_market_within_20,zillow_off_market_median_error,zillow_off_market_properties,zillow_off_market_within_5,zillow_off_market_within_10,zillow_off_market_within_20,home_value_one_bed,home_value_two_bed,home_value_three_bed,home_value_four_bed,home_value_five_bed
united_states,country,United States,US,357138.13,357000.00,0.13,2.58,200496.41,212598.43,226184.47,237358.06,249785.94,292541.79,338484.54,341286.49,353539.80,356912.24,"February 28, 2025",0.80,685642.98,187532.38,350000.00,388299.00,33.00,February 25,21.25,1023739.00,united states,"March 2, 2025",1.94,1700000.00,82.51,94.80,98.65,7.06,115700000.00,38.46,62.41,82.94,246006.00,270168.15,336162.85,496786.95,702747.66
alabama,state,Alabama,AL,225538.70,226000.00,0.24,2.61,136464.35,139919.03,145947.57,154120.72,165517.88,190253.93,215791.04,219992.90,223502.57,225263.99,"February 28, 2025",0.25,399367.40,113667.65,226340.31,264789.80,43.44,February 25,29.93,909.75,alabama,"March 2, 2025",1.95,31400.00,81.55,93.81,97.99,8.10,1800000.00,34.93,57.00,77.16,170152.64,149872.97,225053.15,360819.33,521783.81
alaska,state,Alaska,AK,368985.28,369000.00,0.27,3.07,279334.05,280990.89,285715.81,305028.37,313501.00,329026.90,355397.26,356440.10,362181.63,368488.54,"February 28, 2025",-2.58,534030.46,236137.01,,402087.50,25.00,February 25,16.88,239.00,alaska,"March 2, 2025",,4800.00,,,,,238000.00,,,,176722.02,261252.18,381973.71,494256.24,595518.92
arizona,state,Arizona,AZ,426236.67,426000.00,-0.28,-0.23,217365.09,232314.75,249948.68,266569.67,290469.36,363882.04,439971.82,419110.98,429433.99,426840.32,"February 28, 2025",1.98,681513.58,305374.86,393972.00,418909.91,45.18,February 25,35.13,3000.09,arizona,"March 2, 2025",1.41,53500.00,90.58,97.51,99.38,5.68,2600000.00,45.54,70.29,88.08,221271.08,339400.95,409292.33,512710.16,712934.89
arkansas,state,Arkansas,AR,207283.59,207000.00,0.30,3.85,129022.14,133282.18,138673.83,144487.74,151669.70,172704.86,194336.64,198551.55,204416.52,206972.07,"February 28, 2025",-1.15,365343.34,101003.22,202645.45,225678.90,52.80,February 25,39.52,499.60,arkansas,"March 2, 2025",2.00,16600.00,80.65,93.09,97.57,7.97,1100000.00,35.54,57.06,76.51,128848.42,152594.16,231977.93,363844.70,526181.99
california,state,California,CA,784840.24,785000.00,-0.18,2.95,447436.22,483378.55,527297.53,539930.73,561041.37,662012.13,748686.37,731745.19,775755.75,785541.65,"February 28, 2025",-0.57,1444485.27,475324.09,624877.67,663993.00,30.50,February 25,21.88,1995.26,california,"March 2, 2025",2.00,108500.00,81.43,94.38,98.63,6.32,10700000.00,41.85,66.50,85.85,492389.18,635477.21,748517.07,946303.31,1281787.18
colorado,state,Colorado,CO,546004.16,546000.00,-0.20,0.92,318685.45,348107.04,373626.93,390752.44,409642.40,481968.36,549573.71,537365.71,543598.93,546538.11,"February 28, 2025",1.08,865201.38,370993.64,705945.83,758010.19,44.23,February 25,31.79,1265.06,colorado,"March 2, 2025",1.34,41500.00,91.27,97.73,99.38,5.30,2200000.00,47.86,72.71,89.84,316029.94,409681.82,521079.35,652764.18,789155.00
connecticut,state,Connecticut,CT,407391.26,407000.00,0.30,5.76,237574.98,243604.77,248729.05,252141.70,260913.92,308012.98,343553.98,361062.80,397774.46,406780.79,"February 28, 2025",3.64,687299.44,280681.18,416590.00,452300.40,14.80,February 25,10.88,943.40,connecticut,"March 2, 2025",3.16,9800.00,68.29,91.11,98.81,8.15,1300000.00,32.89,58.27,83.60,199745.78,298886.67,395621.87,572899.97,927640.99
delaware,state,Delaware,DE,383514.68,384000.00,0.12,2.64,241103.33,250986.08,258393.00,265412.20,271349.70,318751.03,356405.55,364811.42,377280.44,383276.52,"February 28, 2025",1.90,586753.13,256044.61,330000.00,374133.00,26.00,February 25,17.83,427.00,delaware,"March 2, 2025",2.53,4500.00,70.36,83.93,94.77,8.98,434300.00,30.74,53.56,78.53,176431.65,256466.22,340996.49,484867.32,662655.59
florida,state,Florida,FL,385850.72,386000.00,-0.28,-1.85,195728.56,211512.07,227631.81,239128.83,251510.13,295623.66,379956.46,385199.80,392665.38,386386.27,"February 28, 2025",1.59,679287.92,242332.46,373612.52,410097.21,53.00,February 25,46.19,6364.83,florida,"March 2, 2025",1.95,283000.00,84.73,95.36,98.69,6.85,9400000.00,39.13,64.03,85.21,194446.42,282193.21,386171.17,513856.07,782324.36
